Monthly Plan ID,ID,Project Key,Project Name,Activity,Activity Details,Status,Created On,Created By,Start Date,End Date
"""MP-2023-000001""","""1""",EXH047,Exhibition & Events,Market Linkage,"Participation in Exhibition of World Food India in Pragathi Maidan, Delhi",New,45:40.6,prasanna@csa-india.org,03-11-2023,05-11-2023
"""MP-2023-000001""","""84""",MAR093,Marketing - FPOs,Market Linkage,"Safe Harvest and Verstegen Spices visiting to Boddam and Kadapa for Paddy, Rajma and Turmeric respectively",New,45:40.6,prasanna@csa-india.org,07-11-2023,30-11-2023
"""MP-2023-000001""","""103""",SAP146,SAPCO Export,Planning,"Discussion with Amar garu for US exports
Discussion & implementation of EU exports. 
BIOFACH visit planning.",Ongoing,45:40.6,prasanna@csa-india.org,01-11-2023,30-11-2023
"""MP-2023-000001""","""104""",RAN129,Rang De,Loan Processing,Coordination in onboarding new farmers for loan from Rang De,Ongoing,45:40.6,prasanna@csa-india.org,01-11-2023,30-11-2023
"""MP-2023-000001""","""105""",ERP046,ERP & IT,Designing & Development,"Designing and developing new doctypes in ERP for CSA & KSA.
Regular websites and ERP maintenance",Ongoing,45:40.6,prasanna@csa-india.org,01-11-2023,30-11-2023
"""MP-2023-000001""","""193""",SAH142,Sahaja Aharam,Followup & Coordination,"Regular coordination on procurements, sales, processing etc with the team",Ongoing,45:40.6,prasanna@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000002""","""2""",GEN061,Gender Responsive Seed System - IRRI,Field Visit,Ranjitha visit,New,17:15.1,ramoo@csa-india.org,31-10-2023,01-11-2023
"""MP-2023-000002""","""3""",n.a,CSA-Organisational,Campaign,Press conference with India spend on the natural farming.,Ongoing,17:15.1,ramoo@csa-india.org,03-11-2023,03-10-2023
"""MP-2023-000002""","""4""",GEN063,General,Meeting,"Centre for social development 20th anniversary lecture on sustainable agriculture in the era of climate change, bangalore",New,17:15.1,ramoo@csa-india.org,04-11-2023,04-10-2023
"""MP-2023-000002""","""5""",KSA087,KSA,Training,Tentatively planned Master Trainers Training for Karnataka and MP.,New,17:15.1,ramoo@csa-india.org,06-11-2023,11-11-2023
"""MP-2023-000002""","""6""",WOR175,Workshops,Workshop,"Presenting a paper on Agricultural Education at IRMA, Anand",New,17:15.1,ramoo@csa-india.org,16-11-2023,18-11-2023
"""MP-2023-000002""","""7""",KSA087,KSA,Training,Training on Seed Enterprises,New,17:15.1,ramoo@csa-india.org,20-11-2023,25-11-2023
"""MP-2023-000002""","""8""",n.a,CSA-Organisational,BOT,Annual Board of Trustees meeting,Ongoing,17:15.1,ramoo@csa-india.org,27-11-2023,30-11-2023
"""MP-2023-000003""","""9""",CBB020,CBBO,Training,BOD training to across FPOs directors. from 12 FPOs. in Hyderabad with all experts ,New,44:27.5,yadavareddy@csa-india.org,06-11-2023,12-10-2023
"""MP-2023-000003""","""10""",CBB020,CBBO,Travel,"Exposure visit MAHA FPO, Pune nasik",New,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000003""","""11""",SFA154,SFAC - CBBO,Planning,CEO interview and Apointiment ,New,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000003""","""12""",IRR084,IRRI,Market Linkage,Seed marketing work,Ongoing,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
"""MP-2023-000003""","""13""",CBB020,CBBO,Proposal Writing,Claims preparation to all the FPOs ,Ongoing,44:27.5,yadavareddy@csa-india.org,Date not recorded,Date not recorded
